"Kode Aset";"Serial Number";"Kode Item";"Nama Aset";Spesifikasi;"Tanggal Perolehan";"Harga Beli";"Sumber Perolehan";"Kode Unit";"Nama Unit";PIC;Kondisi;Status;"Jenis KIB";"Masa Manfaat (Tahun)";"Nilai Residu";"Akumulasi Penyusutan";"Nilai Buku"
01201030258-02;SN-01201030258-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030259-02;SN-01201030259-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030260-02;SN-01201030260-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030261-02;SN-01201030261-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030262-02;SN-01201030262-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030263-02;SN-01201030263-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030264-02;SN-01201030264-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030265-02;SN-01201030265-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030266-02;SN-01201030266-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030267;SN-01201030267;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030268;SN-01201030268;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030269;SN-01201030269;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030270;SN-01201030270;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030101-02;SN-01201030101-02;BRG0720260249;"Keset Kaki Tebal";;2018-01-01;20000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;20000
01201030102-02;SN-01201030102-02;BRG0720260249;"Keset Kaki Tebal";;2018-01-01;20000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;20000
01201030103-02;SN-01201030103-02;BRG0720260249;"Keset Kaki Tebal";;2018-01-01;20000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;20000
01201030104-02;SN-01201030104-02;BRG0720260249;"Keset Kaki Tebal";;2018-01-01;20000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;20000
01201030105-02;SN-01201030105-02;BRG0720260249;"Keset Kaki Tebal";;2018-01-01;20000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;20000
01201030106-02;SN-01201030106-02;BRG0720260249;"Keset Kaki Tebal";;2018-01-01;20000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;20000
01201030107-02;SN-01201030107-02;BRG0720260249;"Keset Kaki Tebal";;2018-01-01;20000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;20000
01201030108-02;SN-01201030108-02;BRG0720260249;"Keset Kaki Tebal";;2018-01-01;20000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;20000
01201030109-02;SN-01201030109-02;BRG0720260249;"Keset Kaki Tebal";;2018-01-01;20000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;20000
01201030110-02;SN-01201030110-02;BRG0720260249;"Keset Kaki Tebal";;2018-01-01;20000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;20000
01201030111-02;SN-01201030111-02;BRG0720260249;"Keset Kaki Tebal";;2018-01-01;20000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;20000
